source_repo,edition,problem_file,solution_file,status,prompt_length,completion_length,solution_variant,prompt_preview,completion_preview
unknown_repo,IEEEXtreme 10.0,dogwalking.pdf,dogwalking.py,MATCHED,2693,507,,"Dog Walking Time limit: 10000 ms Memory limit: 512 MB Your friend, Alice, is starting a dog walking business. She already has dog walkers employed, and today there are dogs that need to be walked. E... [TRUNCATED]","# The logic is bit hard to understand. I have to think about it again. # I got the solution from the internet. for i in range (int(input())): n, k = map(int, input().split()) dogs = [] ... [TRUNCATED]"
unknown_repo,IEEEXtreme 10.0,ellipseart.pdf,ellipseart.py,MATCHED,2373,815,,"Ellipse Art Time limit: 10000 ms Memory limit: 512 MB In IEEEXtreme 9.0, you met the famous artist, I.M. Blockhead. This year we want to introduce you to another famous artist, Ivy Lipps. Unlike I.M.,... [TRUNCATED]","# To pass all the test cases, you must use Pypy3 instead of Python 3. import math def check(x, y): for ellipse in ellipse_parameters: if math.sqrt((x - ellipse[0])**2 + (y - ellipse[1])**... [TRUNCATED]"
unknown_repo,IEEEXtreme 10.0,memorymanagement.pdf,memorymanagement.py,MATCHED,4501,2798,, Memory Manag ement Time limit: 2000 ms Memory limit: 512 MB Dr. X develops various highly optimized code for applications ranging from smart watches to autonomous vehicles using Wintel Operating Sy... [TRUNCATED],# ram_size - number of pages that can be maximally present in the OS # page_requests - number of memory accesses by the application # pages - pages currently in memory def calc_fifo_replacements(ram_... [TRUNCATED]
unknown_repo,IEEEXtreme 11.0,beetlebag.pdf,beetlebag.py,MATCHED,2021,923,,"BeetleBag Time limit: 2500 ms Memory limit: 30 MB Beetleman joined the Strangers, a team of super heroes who protect cyber world. In order to increase Beetleman's ﬁghting power, Copperman allowed Beet... [TRUNCATED]","def knapsack(bag_capacity, weights, fighting_powers, num_gadgets): dp_array = [[0 for _ in range(bag_capacity + 1)] for _ in range(num_gadgets + 1)] for i in range(1, num_gadgets + 1): ... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,blackgate.pdf,blackgate.py,MATCHED,1667,504,,Blackgate Penitentiary Time limit: 2500 ms Memory limit: 256 MB Vangelis the Batbear trapped all the members of Joker's Streetgang in a basement. Your job as a police oﬃcer is to transport all gang me... [TRUNCATED],x = int(input()) heights = {} for i in range(x): data = input().split() if int(data[1]) not in heights: lis = [] lis.append(data[0]) heights[int(data[1])] = lis ... [TRUNCATED]
unknown_repo,IEEEXtreme 11.0,cryptographicdisc.pdf,cryptographicdisc.py,MATCHED,2962,832,,Aeneas' cryptographic disc (4th c. B.C.) Time limit: 3000 ms Memory limit: 64 MB Aeneas' cryptographic disc was a bronze disc with holes (one for each letter of the Greek alphabet) on the periphery a... [TRUNCATED],"import math radius = int(input()) angles = {} for i in range(26): letter, angle = input().split() angle = float(angle) # We have to get sine and cosine of the angle. # then we ... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,elementary.pdf,elementary.py,MATCHED,1372,1740,,Elementary Time limit: 2500 ms Memory limit: 128 MB Write a program that converts a word in the English dictionary (a string of lower case letters) into a number. Below are some examples of input-outp... [TRUNCATED],"# Simulate the program on a paper and you will understand the logic behind it. elements = [ 'h', 'he', 'li', 'be', 'b', 'c', 'n', 'o', 'f', 'ne', 'na', 'mg', 'al', 'si', 'p', 's', 'cl', 'ar', 'k', 'ca... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,fastandcurious.pdf,fastandcurious.py,MATCHED,1826,1161,,"The Fast and the Curious Time limit: 5000 ms Memory limit: 256 MB Jason Bourne is driving his car through the countryside, desperately trying to escape the black ops group «Operation Treadstone», that... [TRUNCATED]",from collections import defaultdict import sys sys.setrecursionlimit(10**6) def dfs(u): global time disc[u] = low[u] = time time += 1 visited[u] = True for v in graph[u]: ... [TRUNCATED]
unknown_repo,IEEEXtreme 11.0,fibonacci.pdf,fibonacci.py,MATCHED,1785,162,,"Fibonacci Time limit: 500 ms Memory limit: 258 MB Dr. Fibonacci is modeling the bacteria population growth using a famous sequence. Initially, a bacterium is placed inside a test tube. There will be ... [TRUNCATED]","fib = [1, 1, 2] for i in range(3, 60): fib.append((fib[i-1] + fib[i-2]) % 10) for j in range(int(input())): x = int(input()) % 60 print(fib[x])"
unknown_repo,IEEEXtreme 11.0,gottacatchemall.pdf,gottacatchemall.py,MATCHED,3269,846,,Gotta Catch 'Em All Time limit: 625 ms Memory limit: 128 MB Pokémon trainer Blue is starting his journey in the world of Pokémon and dreams of becoming a Pokémon master. Blue will be travelling to Vir... [TRUNCATED],"r, c = map(int, input().split()) forest = [] for i in range(r): forest.append(list(map(int, input().split()))) for i in range(r - 1, -1, -1): for j in range(c - 1, -1, -1): if i == ... [TRUNCATED]"
